species,taxa_name,mean_life_expect,life_time_La,mean_repo_rate,gen_time,H_entropy,S_entropy,M_rep_lif_exp,matrix_size,surv_95,surv_99,gini,first_stage,lambda_pop,mass_g,parental_care,repo_type,mobility,trophic_level,habitat_ecology,habitat,min_max,met_type,FMR_mass_grams,FMR_kJ_day,FMR_kJ_day_g,met_rate_Wg,iucn_statues,iucn_pop,animal,met_notes,,,
Cyprinus_carpio,Actinopterygii,2.831658291,2,0.906440404,4.751880217,1.600583209,2.537061092,3.663316583,5,11,18,0.455937186,Age 1,1.463710152,542.57,no,oviparous,fw_river,omnivore,river,freshwater,18,ecto,,,,9.94E-05,NA,NA,Cyprinus_carpio, et al  Ecological Influences and Morphological Correlates of Resting and Maximal Metabolic Rates across Teleost Fish Species,mmmm,,
Drymarchon_couperi,Reptilia,1.866021311,2,0.390497153,5.554760942,1.543423583,2.095747628,2.995577,3,7,12,0.477450713,First year,0.905612237,7118,no,oviparous,terrestrial,carnivore,terrestrial,terrestrial,12,ecto,,,,,LC,decreasing,Drymarchon_couperi,,,,
Eidolon_helvum,Mammalia,3.529411765,2,0.500260201,5.386639605,1.535511018,2.576317417,5.882352941,3,14,23,0.572816293,Juvenile,1.157363755,280.43,yes,viviparous,volant,herbivore,arboreal,terrestrial,23,endo,,,,,NT,decreasing,Eidolon_helvum,,,,
Elephas_maximus,Mammalia,34.65149205,16,0.079973977,31.73154512,0.644295898,3.903659652,35.17035489,60,72,87,0.538103339,1 year ,1.052670522,3220000,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,87,endo,,,,0.000636302,E,decreasing,Elephas_maximus,Genoud et al Comparative analyses of basal rate of metabolism in mammals: data selection does matter,,,
Emydura_macquarii,Reptilia,1.020264565,5.095975232,0.864676752,54.53457748,0.719703877,0,18.18181818,3,2,2,0.666666667,Egg / Hatchling,0.948952494,1740,no,oviparous,fw_benthic,carnivore,benthic,freshwater,3,ecto,,,,,NA,NA,Emydura_macquarii,,,,
Emydura_macquarii,Reptilia,1.182381086,5.095975232,0.79274887,27.64581191,1.099397578,1.568125368,18.18181818,3,2,7,0.392673014,Egg / Hatchling,0.9764022,1740,no,oviparous,fw_benthic,carnivore,benthic,freshwater,7,ecto,,,,,NA,NA,Emydura_macquarii,,,,
Esox_lucius,Actinopterygii,1.000766117,4,1.373627712,6.19182271,0.694843751,2.016780578,3.107147172,16,2,2,0.626319722,Egg,1.374341297,1073.82,no,oviparous,fw_pelagic,carnivore,pelagic,freshwater,16,ecto,,,,0.000185149,LC,stable,Esox_lucius,"I used 15 C temp for Armstrong et al. (1992) from Table 1 in Armstrong and Hawkins Standard metabolic rate of pike, Esox lucius: variation among studies and implications for energy flow modelling",check,,
Falco_naumanni,Aves,2.171487603,2,0.738867404,3.825392255,1.454073624,1.990114349,3.443526171,2,8,13,0.577739018,Yearlings,1.225808004,152.5,yes,oviparous,volant,carnivore,terrestrial,terrestrial,13,endo,,,,,LC,stable,Falco_naumanni,,,,
Falco_peregrinus,Aves,2.314073632,2,0.286636353,10.06237377,1.87001571,2.711890492,5.837837838,5,11,21,0.448293593,Juvenile,0.9368276,827.25,yes,oviparous,volant,carnivore,aerial,terrestrial,21,endo,,,,,LC,stable,Falco_peregrinus,,,,
Falco_peregrinus,Aves,3.3664,3,0.334202803,6.738991857,1.471985729,2.410149773,5,3,12,20,0.583020767,< 1 yr old ,1.028699321,827.25,yes,oviparous,volant,carnivore,aerial,terrestrial,20,endo,,,,,LC,stable,Falco_peregrinus,,,,
Forpus_passerinus,Aves,1.845429565,2.449030302,0.188544085,8.224500551,1.186336463,1.595267295,2.258747622,2,6,8,0.522437846,Nonbreeders,1.027553962,24,yes,oviparous,volant,herbivore,terrestrial,terrestrial,8,endo,,,,,LC,decreasing,Forpus_passerinus,,,,
Fulmarus_glacialis,Aves,12.25882353,9,0.045353729,23.24799641,0.99689267,3.334569038,11.76470588,9,36,54,0.611904125,1 year,0.962333143,785,yes,oviparous,volant,carnivore-scavanger,pelagic,marine,54,endo,755.4,1444.5,1.91223193,0.00524649,LC,increasing,Fulmarus_glacialis,from mcNAb its 13.75 kj/h for a 728g,,,
Gavia_immer,Aves,3.3125,1,0.300877705,14.85086284,2.123169964,3.276648176,3.3125,2,18,37,0.453124242,Juvenile,0.999656558,4400,yes,oviparous,volant,omnivore,semiaquatic,freshwater,37,endo,,,,,LC,stable,Gavia_immer,,,,
Gavia_immer,Aves,3.25,1,0.336666667,14.14752494,2.136307346,3.276648176,3.25,2,18,37,0.453124242,Juvenile,1.009999916,4400,yes,oviparous,volant,omnivore,semiaquatic,freshwater,37,endo,,,,,LC,stable,Gavia_immer,,,,
Gavia_immer,Aves,3.375,1,0.260884975,15.79206698,2.119146547,3.289989219,3.375,2,19,38,0.461730151,Juvenile,0.988156255,4400,yes,oviparous,volant,omnivore,semiaquatic,freshwater,38,endo,,,,,LC,stable,Gavia_immer,,,,
Genypterus_blacodes,Actinopterygii,5.680320902,5,0.241619309,8.713408279,0.875680745,2.494554517,5.464480874,5,15,23,0.604589512,3 yrs recruits,1.079855818,5482,no,oviparous,m_benthic,carnivore,bathydemersal,marine,23,ecto,,,,,NA,NA,Genypterus_blacodes,,,,
Genypterus_blacodes,Actinopterygii,5.437065716,5,0.244393629,6.468133795,0.518402875,1.654839759,2.376957494,6,10,14,0.719472964,3 yrs recruits,1.085446532,5482,no,oviparous,m_benthic,carnivore,bathydemersal,marine,14,ecto,,,,,NA,NA,Genypterus_blacodes,,,,
Gorilla_beringei,Mammalia,41.36021515,10,0.05184506,38.8165862,1.013682711,4.690362898,42.88608798,11,127,196,0.586583524,0 yrs,1.026826663,139842,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,196,endo,,,,,CE,decreasing,Gorilla_beringei,,,,
Gyps_coprotheres,Aves,8.91954023,4,0.190568784,11.90403766,1.275213057,3.317123052,11.49425287,5,31,49,0.580221522,1 year,1.063427439,7862,yes,oviparous,volant,scavanger,terrestrial,terrestrial,49,endo,,,,,E,decreasing,Gyps_coprotheres,,,,
Haliaeetus_albicilla,Aves,5.856288134,5,0.11376118,12.09505895,1.204336356,2.845364641,6.117209457,37,19,32,0.651490743,A1 - fledglings,0.947612288,4793,yes,oviparous,volant,carnivore-scavanger,pelagic,terrestrial,37,endo,,,,,LC,increasing,Haliaeetus_albicilla,,,,
Haliaeetus_albicilla,Aves,5.172622205,5,0.238281487,10.33330825,1.3110656,2.863393292,6.117209457,37,18,30,0.645488068,A1 - Fledglings,1.03996068,4793,yes,oviparous,volant,carnivore-scavanger,pelagic,terrestrial,37,endo,,,,,LC,increasing,Haliaeetus_albicilla,,,,
Haliotis_laevigata,Gastropoda,3.844169307,3.511683498,1.536112991,8.114103462,2.174802066,3.54892528,14.51666872,7,22,45,0.393491191,< 8 mm shell length,1.878544062,45.7,no,oviparous,sessile,herbivore,benthic,marine,45,ecto,,,,,NA,NA,Haliotis_laevigata,,,,
Haliotis_rufescens,Gastropoda,1.739945018,4.199456753,0.574734355,9.183190615,1.266541378,1.758645658,2.966497608,8,5,9,0.442435065,25-50 mm shell length,1.000003102,579.3206336,no,oviparous,sessile,herbivore,benthic,marine,9,ecto,,,,,NA,NA,Haliotis_rufescens,,,,
Himantopus_novaezelandiae,Aves,1.823236515,3,0.231476793,6.177005709,1.38348853,1.715825353,2.904564315,3,6,10,0.575703114,Juvenile,0.773443766,161,yes,oviparous,volant,carnivore,semiaquatic,freshwater,10,endo,,,,,CE,increasing,Himantopus_novaezelandiae,,,,
Hippocamelus_bisulcus,Mammalia,15.22666667,3,0.079818748,17.17981838,1.099614978,3.718728054,16.66666667,3,48,74,0.585940759,Yearlings  (1 yr),1.013037936,69620.405,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,74,endo,,,,,E,decreasing,Hippocamelus_bisulcus,,,,
Hippocamelus_bisulcus,Mammalia,7.218666667,3,0.078383243,10.42584164,1.006357049,2.758868892,6.666666667,3,21,30,0.608814329,Yearlings  (1 yr),0.935624282,69620.405,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,30,endo,,,,,E,decreasing,Hippocamelus_bisulcus,,,,
